thousand,千、千の,せん、せんの
lay in,蓄える、仕入れる,たくわえる、しいれる
speculation,推測、情報が不十分な中での考察。,すいそく、じょうほうがふじゅうぶんななかでのこうさつ。
itemize,項目分けする、明細化する,こうもくわけする、めいさいかする
city hall,市庁舎,しちょうしゃ
scenic,風光明媚な、景勝地の,ふうこうめいびな、けいしょうちの
attendee,参加者、出席者。,さんかしゃ、しゅっせきしゃ。
settlement,移住、入植、決済。,いじゅう、にゅうしょく、けっさい。
chatter,おしゃべり,おしゃべり
compromise,妥協、譲歩、和解,だきょう、じょうほ、わかい
subject,科目、題目。勉強する内容、または議論の対象。例 a research subject(研究テーマ),かもく、だいもく。べんきょうするないよう、またはぎろんのたいしょう。れい a research subject(けんきゅうてーま)
planet,惑星、天体,わくせい、てんたい
snippet,切れ端,きれはし
ash,灰、燃焼後の残骸。,はい、ねんしょうのちのざんがい。
situate,を置く、位置させる,をおく、いちさせる
jealous,うらやましい、嫉妬している,うらやましい、しっとしている
governor,知事、統治者,ちじ、とうちもの
map out,綿密に計画する、詳細に計画する、地図に精密に示す,めんみつにけいかくする、しょうさいにけいかくする、ちずにせいみつにしめす
petal,花弁、花びら,かべん、はなびら
keep at,を根気よく続ける、継続する,をこんきよくつづける、けいぞくする
smuggler,密輸業者、密輸人、運び屋,みつゆぎょうしゃ、みつゆにん、はこびや
institutional,制度の、制度上の,せいどの、せいどじょうの
gladiator,闘技者、剣闘士、格闘家。,とうぎもの、けんとうさむらい、かくとうか。
supremacy,至高、覇権,しこう、はけん
how's it going?,調子はどう？,ちょうしはどう?
complacent,自己満足の、独りよがりの,じこまんぞくの、ひとりよがりの
brief,短時間または簡潔な説明。,たんじかんまたはかんけつなせつめい。
bounce back,持ち直す、跳ね返す,もちなおす、はねかえす
attain,目標を達成すること。,もくひょうをたっせいすること。
recourse,依頼,いらい
faze,心を騒がせる,こころをさわがせる
combustion,燃焼、火を燃やす、酸化反応,ねんしょう、ひをもやす、さんかはんのう
voluptuous,官能的な,かんのうてきな
in the future,将来に,しょうらいに
spring up,突然現れる、跳ね上がる,とつぜんあらわれる、はねあがる
call it a day,終了する、仕事を切り上げる,しゅうりょうする、しごとをきりあげる
mile-high city,高地の都市(デンバー),こうちのとし(でんばー)
vision,未来像,みらいぞう
layman,俗人,ぞくじん
vowel,母音,ぼいん
feat,偉業、功績,いぎょう、こうせき
draw back,引き戻す、取り消す,ひきもどす、とりけす
centennial,100年祭、百年祭,100ねんさい、ひゃくねんまつり
nutty,木の実の多い,このみのおおい
contingent,起こりうる、発生可能な,おこりうる、はっせいかのうな
view,眺め、見方、を見る。あるものを見ること、またはあるものに対する意見や考え。,ながめ、みかた、をみる。あるものをみること、またはあるものにたいするいけんやかんがえ。
presumably,たぶん、おそらくの推測。,たぶん、おそらくのすいそく。
veracity,真実、正直,しんじつ、しょうじき
lurch,よろめき、ふらつき,よろめき、ふらつき
bud,つぼみ,つぼみ
take,連れて行く,つれていく
blame for,の責任を問う、を責める,のせきにんをとう、をせめる
glacier,氷河、ゆっくりと動く氷塊,ひょうが、ゆっくりとうごくひょうかい
in force,大挙して,たいきょして
instant,即座の、瞬間的な。,そくざの、しゅんかんてきな。
ripple,波紋,はもん
impromptu,即座に、すぐに,そくざに、すぐに
charred,黒焦げになった、焦げた,くろこげになった、こげた
fissure,亀裂,きれつ
womb,子宮、母胎,しきゅう、ぼたい
zenith,頂点,ちょうてん
harmless,無害な、害のない,むがいな、そこのない
involved,関係した、複雑な,かんけいした、ふくざつな
bite on,に真剣に取り組む、に噛みつく,にしんけんにとりくむ、にかみつく
drag out,引き出す、長引かせる,ひきだす、ながびかせる
javelin,投げやり,なげやり
response,反応または返答。,はんのうまたはへんとう。
lastly,最後に述べること、結論として。,さいごにのべること、けつろんとして。
clap,手をたたく,てをたたく
synonymous,同義の,どうぎの
hardly ever,めったに～しない,めったに~しない
writhe,身もだえる,みもだえる
neat,きちんと整理された、整然とした。,きちんとせいりされた、せいぜんとした。
spicy,辛い,つらい
economic bloc,経済圏。経済的に結びついた国々のグループ。,けいざいけん。けいざいてきにむすびついたくにぐにのぐるーぷ。
when,～するとき,~するとき
pull the plug,停止させる、終わらせる,ていしさせる、おわらせる
reasoning,推論、論理的思考。,すいろん、ろんりてきしこう。
put together,まとめる、一緒にする,まとめる、いっしょにする
forage,飼料,しりょう
robbery,強盗、強奪、窃盗,ごうとう、ごうだつ、せっとう
declaration,宣言、申告、表明,せんげん、しんこく、ひょうめい
diplomatic crisis,外交危機。国家間の深刻な対立状況。,がいこうきき。こっかかんのしんこくなたいりつじょうきょう。
loss,失うこと 喪失,うしなうこと そうしつ
primate,霊長類、霊長動物,れいちょうるい、れいちょうどうぶつ
grass,草,くさ
assiduous,勤勉な,きんべんな
absentee ballot,不在者投票,ふざいしゃとうひょう
prodigy,莫大な、巨大な,ばくだいな、きょだいな
just in case,もしもの場合に備えて,もしものばあいにそなえて
made,作った。何かを作り出したことを表す動詞の過去形。,つくった。なにかをつくりだしたことをあらわすどうしのかこけい。
